# Fecha de generación: 2025-12-08T20:20:40+00:00
# Usuario: vboxuser
# Host: Ubuntu

comm	count	cpu_avg	cpu_max	mem_avg	mem_max
gvfsd	2	0	0	0	0
report.sh	2	0	0	0	0
transform.sh	2	4.80	9.6	0	0
migration/2	2	0	0	0	0
migration/3	2	0	0	0	0
migration/0	2	0	0	0	0
migration/1	2	0	0	0	0
migration/4	2	0	0	0	0
migration/5	2	0	0	0	0
kworker/3:3-eve	2	0	0	0	0
gnome-session-c	2	0	0	0	0
gnome-session-b	4	0	0	.15	0.2
lab2	2	0	0	0	0
gvfs-goa-volume	2	0	0	0	0
kworker/2:0-eve	2	0	0	0	0
kworker/4:1H-kb	2	0	0	0	0
irq/18-vmwgfx	2	0	0	0	0
cpuhp/4	2	0	0	0	0
cpuhp/5	2	0	0	0	0
kworker/4:1-cgr	2	0	0	0	0
cpuhp/0	2	0	0	0	0
xdg-document-po	2	0	0	0	0
cpuhp/1	2	0	0	0	0
cpuhp/2	2	0	0	0	0
cpuhp/3	2	0	0	0	0
ModemManager	2	0	0	.10	0.1
evolution-sourc	2	0	0	.40	0.4
kdevtmpfs	2	0	0	0	0
watchdogd	2	0	0	0	0
chrome-sandbox	2	0	0	0	0
snap-store	2	2.90	2.9	5.50	5.5
goa-daemon	2	0	0	.20	0.2
rtkit-daemon	2	0	0	0	0
kworker/0:2H-kb	2	0	0	0	0
VBoxDRMClient	2	.10	0.1	0	0
kworker/R-kstrp	2	0	0	0	0
gvfsd-dnssd	2	0	0	.10	0.1
forkserver	2	0	0	.30	0.3
kworker/0:1H-kb	2	0	0	0	0
kworker/2:2H-kb	2	0	0	0	0
antigravity	30	1.26	14.2	1.66	7.6
mutter-x11-fram	2	0	0	.60	0.6
kworker/5:1H-kb	2	0	0	0	0
goa-identity-se	2	0	0	.10	0.1
kworker/R-tpm_d	2	0	0	0	0
snapd	2	.20	0.2	.30	0.3
gnome-shell-cal	2	0	0	.10	0.1
gcr-ssh-agent	2	0	0	0	0
kworker/5:0-eve	1	0	0	0	0
kworker/R-inet_	2	0	0	0	0
accounts-daemon	2	0	0	0	0
Privileged Cont	2	0	0	1.50	1.5
gsd-wacom	2	0	0	.20	0.2
Web Content	6	.10	0.1	.80	0.8
firefox	2	10.20	10.2	10.50	10.5
update-notifier	2	0	0	.30	0.3
gsd-color	2	0	0	.20	0.2
evolution-alarm	2	0	0	.60	0.6
dbus-daemon	6	0	0	0	0
preprocess.sh	2	5.85	11.7	0	0
rcu_exp_gp_kthr	2	0	0	0	0
kworker/1:1-eve	2	0	0	0	0
kworker/R-ext4-	2	0	0	0	0
switcheroo-cont	2	0	0	0	0
ibus-dconf	2	0	0	0	0
generator.sh	4	0	0	0	0
psimon	4	0	0	0	0
kerneloops	4	0	0	0	0
xdg-desktop-por	6	0	0	.26	0.4
systemd-journal	2	0	0	.20	0.2
kworker/R-acpi_	2	0	0	0	0
pipewire	4	0	0	.05	0.1
gvfs-gphoto2-vo	2	0	0	0	0
kworker/R-ttm	2	0	0	0	0
kworker/R-edac-	2	0	0	0	0
file:// Content	2	.50	0.5	2.30	2.3
scsi_eh_0	2	0	0	0	0
scsi_eh_1	2	0	0	0	0
scsi_eh_2	2	0	0	0	0
gvfsd-fuse	2	0	0	0	0
rcu_tasks_kthre	2	0	0	0	0
gsd-sound	2	0	0	.10	0.1
gnome-terminal-	2	.20	0.2	.80	0.8
gsd-media-keys	2	0	0	.20	0.2
dconf-service	2	0	0	0	0
gdm3	2	0	0	.10	0.1
filter.sh	2	6.15	12.3	0	0
kthreadd	2	0	0	0	0
ibus-engine-sim	2	0	0	0	0
kworker/R-crypt	2	0	0	0	0
fwupd	2	0	0	.40	0.4
gsd-datetime	2	0	0	.10	0.1
kworker/u25:0-t	2	0	0	0	0
kworker/R-ata_s	2	0	0	0	0
kworker/1:2H-kb	2	0	0	0	0
kworker/2:1-eve	2	0	0	0	0
kworker/1:2	2	0	0	0	0
gvfs-mtp-volume	2	0	0	0	0
seahorse	2	0	0	.40	0.4
gnome-remote-de	2	0	0	.10	0.1
kworker/u24:2-e	2	.50	0.5	0	0
sh	2	0	0	0	0
at-spi2-registr	2	0	0	0	0
node-spawn-serv	2	0	0	0	0
rcu_exp_par_gp_	2	0	0	0	0
VBoxClient	8	0	0	0	0
